x,y,mi,mis,sc,sc_masked,nmi,masked_mi,mis_masked
200,-600,0.2439694282756528,0.30385959912100446,0.3179473876953125,0.5989017084535168,1.0251423335150696,0.005565725830520194,-0.027649273060094404
300,-600,0.24202866344432156,0.30213516444276844,0.3236541748046875,0.6010650099844687,1.0249151263334417,0.004000771585835899,-0.021703688143474065
400,-600,0.2409504520952959,0.2977842661623028,0.316162109375,0.5683381406700688,1.0248584676645103,0.0065646359720652765,-0.018429817100932284
500,-600,0.2555363838307557,0.3035949593799015,0.31427001953125,0.4805857554914577,1.0265861807613028,0.007994312159698192,-0.03774564790242739
600,-600,0.252814868055445,0.2655728001610585,0.301300048828125,0.1275793210561349,1.0280012069954774,0.011172870471974065,-0.04740267867379918
700,-600,0.23036066981089143,0.17422022161918962,0.2903900146484375,-0.561404481917018,1.0314900611772992,0.01199700714525183,-0.07406911222461726
800,-600,0.14584531465306114,0.05509758889313213,0.279937744140625,-0.90747725759929,1.0266152907407253,0.009403699440880965,-0.09003051400487008
900,-600,0.02116533072145413,-0.07883466927854588,0.2797088623046875,-1.0,1.0041237681645825,3.976392927933204e-05,-0.09996023607072067
1000,-600,0.03573403329543899,-0.06426596670456101,0.2797088623046875,-1.0,1.0072330896390465,0.003825060718237199,-0.09617493928176281
1100,-600,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
1200,-600,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
-1200,-500,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
-1100,-500,0.006826541181354551,-0.09317345881864546,0.2797088623046875,-1.0,1.001425210430936,6.110727787336247e-05,-0.09993889272212664
-1000,-500,0.05368675562187204,-0.04548675225476431,0.2797088623046875,-0.9917350787663635,1.0102710715406533,0.003680177166843894,-0.09602028877502432
-900,-500,0.20608501188973916,0.13231642968428098,0.2835845947265625,-0.7376858220545818,1.0325013002494643,0.009062229683915483,-0.08358254511084821
-800,-500,0.25638310578869755,0.22533695535603723,0.2938385009765625,-0.3104615043266031,1.0312822437436737,0.01258698252150545,-0.06303982022977035
-700,-500,0.2858213817898226,0.32964765203610613,0.3110504150390625,0.4382627024628356,1.0300606746998482,0.010828692129008237,-0.022708028527747927
-600,-500,0.24745505686986388,0.3084102376996842,0.32342529296875,0.6095518082982028,1.0254620572845101,0.006826353739003525,-0.004500471199980278
-500,-500,0.24190016351320073,0.3000929746958056,0.3255767822265625,0.5819281118260484,1.0248686422818392,0.006260053326807481,-0.02087551356913217
-400,-500,0.24078536824251665,0.30008201789860717,0.322540283203125,0.5929664965609053,1.0247790476688476,0.005081495999672899,-0.024317217113262533
-300,-500,0.23299257797968667,0.28694753693242686,0.3188018798828125,0.5395495895274018,1.0240207140049828,0.003624935531915879,-0.031964148115743315
-200,-500,0.23424422399023415,0.29091717717417026,0.3194427490234375,0.566729531839361,1.0241611810811504,0.004263685293910661,-0.02791958517424998
-100,-500,0.23629074737230255,0.2885483466622959,0.3182525634765625,0.5225759928999334,1.0243905288724973,0.00453262032933587,-0.030568333742108544
0,-500,0.2372934876074459,0.2922136118586108,0.3134765625,0.5492012425116486,1.024482402569939,0.003477443515204037,-0.03032552963766927
100,-500,0.24134715989483294,0.30960764358686754,0.3172149658203125,0.6826048369203461,1.0249052033561257,0.009115745238307677,-0.010930848948512827
200,-500,0.24781305278492383,0.30213965584682756,0.3195343017578125,0.543266030619037,1.0255420045991033,0.006863034913327149,-0.018020479619621603
300,-500,0.24550873707741344,0.3036627197710012,0.3219451904296875,0.5815398269358775,1.025278539608955,0.006027421417350846,-0.01653193070157527
400,-500,0.24100778952165217,0.3006871771409111,0.3246307373046875,0.5967938761925893,1.0248159067737026,0.0051449325923048055,-0.0161441732430624
500,-500,0.24166085376499472,0.30389737473237877,0.3205413818359375,0.6223652096738407,1.0249204347586836,0.0067587726641797075,-0.009527005014986035
600,-500,0.25315967792551697,0.2979511134702252,0.3154449462890625,0.4479143554470823,1.026274036173069,0.007405713731466475,-0.03882237590687389
700,-500,0.25639704762766224,0.25375116344749804,0.298126220703125,-0.026458841801641892,1.0294620525640361,0.006919338026614021,-0.06012082172488365
800,-500,0.23895422065892574,0.16992271411355186,0.286285400390625,-0.6903150654537387,1.0356433364259987,0.013984803657477477,-0.07822731083109585
900,-500,0.10633366150605073,0.008563526161031856,0.2812347412109375,-0.9777013534501886,1.0195922709029182,0.0073205140529873855,-0.09237995188888082
1000,-500,0.03573403329543899,-0.06426596670456101,0.2797088623046875,-1.0,1.0072330896390465,0.003825060718237199,-0.09617493928176281
1100,-500,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
1200,-500,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
-1200,-400,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
-1100,-400,0.006826541181354551,-0.09317345881864546,0.2797088623046875,-1.0,1.001425210430936,6.110727787336247e-05,-0.09993889272212664
-1000,-400,0.13164288417924605,0.03802739715905523,0.2798004150390625,-0.9361548702019081,1.0231048314652615,0.004516810603306035,-0.09513927992254265
-900,-400,0.26640095196194535,0.2196015288423536,0.2884979248046875,-0.4679942311959175,1.0355314024476858,0.013511238263630487,-0.06325823145014808
-800,-400,0.2853325508206083,0.30415327413988946,0.3018035888671875,0.18820723319281119,1.0312638029064107,0.0054240846455142966,-0.050999256823311974
-700,-400,0.24588237487558967,0.31011024263684994,0.316192626953125,0.6422786776126026,1.0252924827758312,0.006879894130442615,-0.019412539861126055
-600,-400,0.24444864530236596,0.302946537470105,0.319854736328125,0.5849789216773907,1.0251278622758973,0.005171404642247733,-0.010404366380605606
-500,-400,0.24426626400517115,0.294981817588486,0.320709228515625,0.5071555358331484,1.025122778855433,0.004898996576672249,-0.025686758914785487
-400,-400,0.23705897551659894,0.29656640839878223,0.3169097900390625,0.5950743288218328,1.024413803072451,0.003940704980030646,-0.019622640926337226
-300,-400,0.2358460969407034,0.2927353802777347,0.3189544677734375,0.5688928333703128,1.0243375243618567,0.0040960920257167915,-0.030317043097424987
-200,-400,0.23674325724848796,0.28917835820255944,0.3183135986328125,0.5243510095407145,1.0244195834920604,0.005147830853731765,-0.032460334222815836
-100,-400,0.24344367913668716,0.30509777276881495,0.3169708251953125,0.616540936321278,1.0251140597745088,0.006129454162331595,-0.020562358573412803
0,-400,0.2400829854996313,0.28825249958882593,0.3177490234375,0.48169514089194587,1.02475451132091,0.00691227172476277,-0.03147246313212652
100,-400,0.2597500419778721,0.31044895478017964,0.3170013427734375,0.5069891280230752,1.0268010020876557,0.008537526549891985,-0.026419207419488985
200,-400,0.2505833894926289,0.3084933073981093,0.321197509765625,0.5790991790548037,1.025800339806799,0.00683291271648259,-0.016808090167919454
300,-400,0.2589715540509664,0.3143742609513436,0.3166656494140625,0.554027069003772,1.0266537512239842,0.008619944351329597,-0.010727737033183386
400,-400,0.2563580611185811,0.3213680455871855,0.3205718994140625,0.650099844686044,1.0263879770152409,0.0067383752694246965,-0.017290912505148193
500,-400,0.24500358965123997,0.29960199213626326,0.318878173828125,0.545984024850233,1.025251879248576,0.007276179565546374,-0.026815233791453848
600,-400,0.24060475805513612,0.2957190247513864,0.3225860595703125,0.5511426669625028,1.024759540916767,0.0033748000051793663,-0.02617922706382441
700,-400,0.2545370605363888,0.28620446679332245,0.31463623046875,0.3166740625693366,1.0269302055130036,0.01020573018684423,-0.0433997723647422
800,-400,0.24315909356694604,0.209284010363041,0.2928466796875,-0.3387508320390504,1.0307416778464162,0.012417579656008674,-0.060846232192227415
900,-400,0.17716622141945496,0.09029025070722953,0.2816009521484375,-0.8687597071222543,1.0288144182566654,0.010057892490044918,-0.08633660495836866
1000,-400,0.03573403329543899,-0.06426596670456101,0.2797088623046875,-1.0,1.0072330896390465,0.003825060718237199,-0.09617493928176281
1100,-400,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
1200,-400,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
-1200,-300,0.0,-0.1,0.2797088623046875,-1.0,1.0,0.0,-0.1
-1100,-300,0.010830240809100269,-0.08916975919089974,0.2797088623046875,-1.0,1.002240397881256,6.656685387144545e-05,-0.09993343314612856
-1000,-300,0.21363373665161883,0.1400093745482241,0.2835845947265625,-0.7362436210339472,1.0330664091669135,0.005784315653812369,-0.08581763686449251
