x,y,mi,mis,sc,sc_masked,mean_intensity
-900,-100,0.28710873428940986,0.413356792864959,0.30828857421875,0.6312402928777457,82.27490570224096
-800,-100,0.24376650303895642,0.40413925653352045,0.3196258544921875,0.8018637674728201,62.62719103616596
-700,-100,0.24795315275371166,0.4023352250856398,0.3199615478515625,0.7719103616596406,65.46377856667407
-600,-100,0.2487724118805711,0.40125743517766455,0.318145751953125,0.7624251164854671,65.97592633680941
-500,-100,0.24641660118251169,0.4058020016706413,0.32061767578125,0.7969270024406478,62.967051253605504
-400,-100,0.25074991431075266,0.39806520164157144,0.3198699951171875,0.7365764366540937,69.99983359218993
-300,-100,0.24597486892152493,0.4016771098800339,0.3163604736328125,0.7785112047925449,64.38745285112049
-200,-100,0.2573865499774117,0.4134216065560672,0.31439208984375,0.7801752828932771,66.40009984468604
-100,-100,0.25039719291538215,0.4075527287485306,0.32073974609375,0.7857776791657421,65.25127579321057
0,-100,0.2511343967834527,0.41010932467340167,0.3226318359375,0.7948746394497448,64.22331928111826
100,-100,0.2474106687479138,0.4066518491339799,0.324249267578125,0.7962059019303306,63.595185267361884
200,-100,0.25810148936911537,0.40122329988608896,0.3172149658203125,0.715609052584868,70.8061349012647
300,-100,0.2435256184973276,0.4000598985062027,0.3163909912109375,0.7826714000443754,66.01109385400488
400,-100,0.24323674670579448,0.4035318432223243,0.3152313232421875,0.8014754825826492,63.52457288662081
500,-100,0.239322202994904,0.3961671109159158,0.3188323974609375,0.7842245396050588,64.90054359884624
600,-100,0.2441771252937971,0.39862576074975453,0.3197174072265625,0.772243177279787,65.81800532504992
700,-100,0.23741363711876945,0.3910635150863754,0.317474365234375,0.7682493898380297,65.57599289993344
800,-100,0.2540431173688296,0.39213941202159197,0.313079833984375,0.6904814732638118,75.40830929664966
900,-100,0.2429276306879784,0.31651316430235604,0.30072021484375,0.36792766807188815,116.44369869092523
1000,-100,0.1664268163692873,0.1746584560409092,0.2824554443359375,0.041158198358109604,159.6597514976703
1100,-100,0.0,0.0,0.2797088623046875,0.0,165.93826270246282
1200,-100,0.0,0.0,0.2797088623046875,0.0,165.93826270246282
-1200,0,0.0,0.0,0.2797088623046875,0.0,165.93826270246282
-1100,0,0.06491210866882557,0.06571086615717703,0.2800445556640625,0.0039937874417572666,164.87397381850454
-1000,0,0.25472285931580063,0.3163603121669211,0.293487548828125,0.3081872642556024,124.29687153317062
-900,0,0.2771981485607022,0.4044335601426857,0.311492919921875,0.6361770579099179,81.66224761482138
-800,0,0.23744937351437434,0.3956588254779865,0.3189697265625,0.7910472598180608,63.32776791657422
-700,0,0.252133352621308,0.40092412253477594,0.3170623779296875,0.7439538495673397,69.15836476591969
-600,0,0.2510166573657734,0.4087823551691903,0.3184356689453125,0.7888284890170846,63.05008875083204
-500,0,0.24808055335081433,0.4016083989243666,0.31787109375,0.7676392278677613,65.31944752607056
-400,0,0.24507335762049617,0.3997438701565512,0.3192596435546875,0.7733525626802751,66.39155757710229
-300,0,0.24734815743888963,0.39789175628512885,0.3182525634765625,0.7527179942311959,68.26458841801642
-200,0,0.2411583039307657,0.395806628758811,0.3185272216796875,0.7732416241402263,65.99767029065897
-100,0,0.25091978729939235,0.4044587267269495,0.3252105712890625,0.7676946971377857,67.42960949633903
0,0,0.4429905297070451,0.6357684307498674,0.33056640625,0.9638895052141114,48.61099400931884
100,0,0.25325114468284216,0.4129249853750987,0.3195953369140625,0.7983692034612825,62.93077435100954
200,0,0.24121378898097467,0.3994343347985917,0.3167572021484375,0.7911027290880852,63.36859329931218
300,0,0.23320039082023508,0.38747152461211437,0.3170166015625,0.7713556689593964,65.38856223652097
400,0,0.2389657371959504,0.3974858170716993,0.3160400390625,0.7926003993787442,64.27263146216995
500,0,0.2391999127720417,0.3988626596102933,0.318023681640625,0.7983137341912581,63.965941868205014
600,0,0.23986080803992385,0.3970163438730723,0.31988525390625,0.7857776791657421,66.93254936765032
700,0,0.2376759090680201,0.397505063716345,0.320098876953125,0.7991457732416242,61.241124916796096
800,0,0.25099015806099323,0.3883320706414237,0.316314697265625,0.6867095629021522,74.40786554248946
900,0,0.24755331287300109,0.3311787843617963,0.3017425537109375,0.41812735744397606,110.10661193698691
1000,0,0.17022676265994738,0.17800355431736917,0.283843994140625,0.038883958287108944,160.1397825604615
1100,0,0.0,0.0,0.2797088623046875,0.0,165.93826270246282
1200,0,0.0,0.0,0.2797088623046875,0.0,165.93826270246282
