x,y,mi,mis,sc,sc_masked,mean_intensity,p-cor
700,300,0.234329524,0.388645034,0.315231323,0.771577546,63.95262924,-0.019432238
-1000,1100,0.004273517,0.004273517,0.279708862,0,165.9285556,-0.019523719
-900,1100,0.006942238,0.006942238,0.279708862,0,165.9285556,-0.019523719
-800,1100,0.007247393,0.007247393,0.279708862,0,165.9285556,-0.019523719
-700,1100,0.007247393,0.007247393,0.279708862,0,165.9285556,-0.019523719
-600,1100,0.007247393,0.007247393,0.279708862,0,165.9285556,-0.019523719
-500,1100,0.007247393,0.007247393,0.279708862,0,165.9285556,-0.019523719
-400,1100,0.008039225,0.008039225,0.279708862,0,165.9285556,-0.019523719
300,1100,0.009161794,0.009161794,0.279708862,0,165.9285556,-0.019523719
400,1100,0.011481189,0.011481189,0.279708862,0,165.9285556,-0.019523719
500,1100,0.007247393,0.007247393,0.279708862,0,165.9285556,-0.019523719
600,1100,0.007247393,0.007247393,0.279708862,0,165.9285556,-0.019523719
700,1100,0.007247393,0.007247393,0.279708862,0,165.9285556,-0.019523719
800,1100,0.006883252,0.006883252,0.279708862,0,165.9285556,-0.019523719
-300,1100,0.009161794,0.009161794,0.279708862,0,165.930497,-0.019523719
-200,1100,0.011481189,0.011481189,0.279708862,0,165.930497,-0.019523719
-100,1100,0.007247393,0.007247393,0.279708862,0,165.930497,-0.019523719
0,1100,0.007247393,0.007247393,0.279708862,0,165.930497,-0.019523719
100,1100,0.007247393,0.007247393,0.279708862,0,165.930497,-0.019523719
200,1100,0.008039225,0.008039225,0.279708862,0,165.930497,-0.019523719
100,-300,0.251592233,0.393105435,0.314941406,0.707566008,72.25737741,-0.020183168
500,400,0.242425239,0.403929565,0.320678711,0.807521633,61.5610162,-0.020190375
-400,200,0.242294002,0.397696709,0.31968689,0.777013535,65.52939871,-0.020240803
1000,0,0.170226763,0.178003554,0.283843994,0.038883958,160.1397826,-0.020536079
-500,800,0.254665883,0.364461756,0.30418396,0.548979365,90.80103173,-0.02126212
100,500,0.239416217,0.396860193,0.320724487,0.78721988,65.80158642,-0.02128172
300,700,0.23999579,0.397417578,0.322692871,0.787108942,63.76664078,-0.022157915
-500,300,0.239065389,0.393591681,0.320205688,0.772631462,66.70495895,-0.022248889
300,200,0.245810544,0.404596877,0.317718506,0.793931662,64.61803861,-0.022306623
300,400,0.247530221,0.40184573,0.326324463,0.771577546,65.64433104,-0.022539601
700,100,0.238433557,0.392970943,0.321609497,0.772686931,64.19253384,-0.02264177
-100,600,0.243188062,0.403105967,0.317092896,0.799589527,63.60394941,-0.023030879
300,-1000,0.082187653,0.08255375,0.280685425,0.001830486,164.7711893,-0.024303862
-300,-500,0.232992578,0.386498236,0.31880188,0.767528289,65.34146883,-0.024806056
400,-500,0.24100779,0.400282251,0.324630737,0.79637231,63.65120923,-0.025239611
300,100,0.235509849,0.394562434,0.319213867,0.795262924,63.20734413,-0.025392663
-1000,-300,0.213633737,0.239903983,0.283584595,0.131351231,145.8131795,-0.025817558
0,300,0.244861496,0.402849071,0.319992065,0.789937874,64.2122809,-0.026034585
-200,-100,0.25738655,0.413421607,0.31439209,0.780175283,66.40009984,-0.026263774
200,200,0.245809789,0.403342516,0.320266724,0.787663634,63.28733082,-0.02660949
200,400,0.246601346,0.404444701,0.323272705,0.789216774,64.84257821,-0.028634215
900,-100,0.242927631,0.316513164,0.300720215,0.367927668,116.4436987,-0.028858177
-400,-100,0.250749914,0.398065202,0.319869995,0.736576437,69.99983359,-0.029258733
300,-900,0.236144547,0.263302302,0.287002563,0.135788773,145.6392279,-0.029376148
-700,200,0.241463603,0.390442969,0.320037842,0.744896827,68.13490126,-0.030014929
200,700,0.234936059,0.395397564,0.320251465,0.802307522,62.39272243,-0.030253342
400,400,0.242285958,0.401382918,0.319824219,0.795484801,63.69841358,-0.030436819
300,-700,0.253815336,0.416595456,0.317520142,0.813900599,60.80042157,-0.030446169
